id,old,new,procedure_ref
A9-0226/2023-44,"(a) reiterate the EU’s unwavering support for the two-state solution, as the only viable solution to the conflict, with the state of Israel and the state of Palestine living democratically side by side in peace, complete with guaranteed security, mutual recognition under the 1967 borders, mutually agreed-upon equivalent land swaps and Jerusalem as the capital of both states, based on the parameters in the Council conclusions of July 2014; thereby support in principle a recognition of Palestinian statehood in accordance with these parameters; continue to advocate for full respect for international law; reiterate the EU’s commitment to the equal rights of all Israelis and Palestinians;","(a) reiterate the EU’s unwavering support for a negotiated and viable two- state solution, with the state of Israel and the state of Palestine living side by side together in peace, complete with guaranteed security, mutual recognition under the 1967 lines, mutually agreed- upon equivalent land swaps and Jerusalem as the capital of both states, based on the parameters in the Council conclusions of July 2014; reiterate the EU’s commitment to the equal rights of all Israelis and Palestinians;",2021/2207(INI)
A9-0226/2023-45,NULL,"(b a) call for an immediate end to Palestinian terrorism, including the rocket attacks carried out by EU-listed Palestinian terrorist organisations, including Hamas, the Palestinian Islamic Jihad and the Popular Front for the Liberation of Palestine;",2021/2207(INI)
A9-0226/2023-48,NULL,"(d d) ensure that the relevant EU authorities prevent EU funding from being directly or indirectly diverted to terrorist organisations; recall that, in line with the EU strategy on combating antisemitism, EU external funds may not be misallocated to activities that incite hatred and violence;",2021/2207(INI)
A9-0226/2023-51,NULL,"(e a) deplore the problematic and hateful content in Palestinian school textbooks and study material, which has yet to be removed; underline that education and pupils’ access to peaceful and unbiased textbooks are essential, especially in the context of the rising involvement of teenagers in terrorist attacks; stress that EU financial support for the PA in the area of education should only be provided on the condition that textbook content be aligned with UNESCO standards, as decided by EU education ministers in Paris on 17 March 2015, that all antisemitic references be deleted and that examples that incite hatred and violence be removed, as repeatedly requested in the resolutions accompanying the discharge decisions in respect of the implementation of the general budget of the European Union for the financial years 2016, 2018, 2019 and 2020; request therefore that the Commission closely scrutinise whether the PA modifies the full curriculum expeditiously;",2021/2207(INI)
A9-0226/2023-54,"(r) demand that the PA establish independent and reliable mechanisms to investigate occurrences of torture or ill treatment and other human rights violations within its territory, in line with its obligations under the Optional Protocol to the Convention Against Torture, to which it acceded in 2017; support an independent investigation into the death of Nizar Banat and call for those responsible to be held accountable; urge the PA to hold security forces accountable for instances of arbitrary arrest, abuse and torture, immediately release all political prisoners and drop all charges; condemn the continued use of torture by the Palestinian authorities;","(r) demand that the PA establish independent and reliable mechanisms to investigate occurrences of torture or ill treatment and other human rights violations within its territory, in line with its obligations under the Optional Protocol to the Convention Against Torture, to which it acceded in 2017; support an independent investigation into the death of Nizar Banat and call for those responsible to be held accountable; urge the PA to hold security forces accountable for instances of arbitrary arrest, abuse and torture, immediately release all peaceful political prisoners and drop all charges; condemn the continued use of torture by the Palestinian authorities;",2021/2207(INI)
A9-0009/2023-3,"(4) The need to ensure transparency is a legitimate public goal, in conformity with the values shared by the EU and its Member States pursuant to Article 2 of the Treaty on European Union (‘TEU’). It is not always easy for citizens to recognise political advertisements and exercise their democratic rights in an informed manner. A high level of transparency is necessary, among others, to support an open and fair political debate and free and fair elections or referendums and to combat disinformation and unlawful interference including from abroad. Political advertising can be a vector of disinformation in particular where the advertising does not disclose its political nature, and where it is targeted. Transparency of political advertising contributes to enabling voters to better understand when they are being presented with a political advertisement on whose behalf that advertisement is being made, and how they are being targeted by an advertising service provider, so that voters are better placed to make informed choices.","(4) The need to ensure transparency is a legitimate public goal, in conformity with the values shared by the EU and its Member States pursuant to Article 2 of the Treaty on European Union (‘TEU’). It is not always easy for citizens to recognise political advertisements and exercise their democratic rights in an informed manner. Furthermore, the increasingly sophisticated and intense interference by malign foreign actors in our democratic electoral processes through the spread of disinformation should be tackled. Political advertising can be a vector of disinformation in particular where the advertising does not disclose its political nature, where it comes from sponsors outside of the Union or where it is targeted or amplified. A high level of transparency is necessary inter alia to support an open and fair political debate, political campaigns and free and fair elections or referendums and to combat disinformation and unlawful interference, including from third countries. Transparency of political advertising contributes to enabling voters and individuals in general to better understand when they are being presented with a political advertisement on whose behalf that advertisement is being made, as well as how and why they are being targeted by an advertising service provider, so that voters are better placed to make informed choices.",2021/0381(COD)
A9-0009/2023-16,NULL,"(14c) A solid body of evidence shows that foreign actors have been actively interfering in the democratic functioning of the Union and its Member States, particularly during election and referendum periods. Considering that foreign interferences constitute a serious violation of values and principles on which the Union is funded and moreover, foreign interferences, information manipulation and disinformation are an abuse of the fundamental freedoms of expression and information as laid down in Article 11 of the Charter and threaten these freedoms, as well as undermining democratic processes in the EU and its Member States, such as the holding of free and fair elections, it is necessary to take appropriate measures to combat disinformation and prevent such interferences by means of advertisements sponsored by actors coming from outside the Union. To support the enforcement of national rules concerning external interference in elections, it is necessary to ensure that political advertising sponsored, prepared, placed, promoted, published, delivered or disseminated in the Union, or directed to individuals in one or more Member States, regardless of the place of establishment of service providers, can be supplied only to sponsors who are citizens of the Union, and to service providers acting on behalf of such sponsors, in addition to natural or legal persons residing or established in the Union. For the purposes of determining the place of establishment of a sponsor, the place of establishment of entities ultimately controlling the sponsor should be taken into account.",2021/0381(COD)
A9-0033/2023-10,NULL,The European Parliament rejects the Commission proposal.,2021/0426(COD)
A9-0033/2023-12,"1. Each Member State shall establish a national building renovation plan to ensure the renovation of the national stock of residential and non-residential buildings, both public and private, into a highly energy efficient and decarbonised building stock by 2050, with the objective to transform existing buildings into zero- emission buildings.","1. Each Member State shall establish a national building renovation plan to ensure the renovation of the national stock of residential and non-residential buildings, both public and private, into a highly energy efficient and decarbonised building stock by 2050, with the objective to facilitate the cost-effective transformation of the overall existing European building stock into zero-emission buildings.",2021/0426(COD)
A9-0033/2023-13,NULL,(d a) (e) buildings for national security purposes.,2021/0426(COD)
A9-0033/2023-14,"1. Member States shall ensure that from the following dates, new buildings are zero-emission buildings in accordance with Annex III: (a) as of 1 January 2027, new buildings occupied or owned by public authorities; and  (b) as of 1 January 2030, all new buildings; Until the application of the requirements under the first subparagraph, Member States shall ensure that all new buildings are at least nearly zero-energy buildings and meet the minimum energy performance requirements laid down in accordance with Article 5.","1. Member States shall ensure that from the following dates, new buildings are zero-emission buildings in accordance with Annex III: (a) from 1 January 2032, new buildings occupied, operated or owned by public authorities; and  (b) from 1 January 2035, all new buildings; Until the application of the requirements under the first subparagraph, Member States shall ensure that all new buildings are at least nearly zero-energy buildings and meet the minimum energy performance requirements laid down in accordance with Article 5.",2021/0426(COD)
A9-0033/2023-18,"(a) buildings and building units owned by public bodies achieve at the latest     (i) after 1 January 2027, at least energy performance class F; and  (ii) after 1 January 2030, at least energy performance class E;","(a) buildings and building units owned by public bodies, including Union institutions, offices, bodies and agencies and those rented by such bodies after... [the date of entry into force of this Directive] achieve at the latest (i) from 1 January 2032, at least energy performance class E; and  (ii) from 1 January 2035, at least energy performance class D;",2021/0426(COD)
A9-0033/2023-19,"(b) non-residential buildings and building units, other than those owned by public bodies, achieve at the latest (i) after 1 January 2027, at least energy performance class F; and  (ii) after 1 January 2030, at least energy performance class E;","(b) non-residential buildings and building units other than those referred to in point (a) achieve at the latest: (i) from 1 January 2032, at least energy performance class E; and  (ii) from 1 January 2035, at least energy performance class D;",2021/0426(COD)
A9-0033/2023-20,"(c) residential buildings and building units achieve at the latest (i) after 1 January 2030, at least energy performance class F; and  (ii) after 1 January 2033, at least energy performance class E;","(c) residential buildings and building units achieve at the latest (i) from 1 January 2030, at least energy performance class E; and  (ii) from 1 January 2038, at least energy performance class D;",2021/0426(COD)
A9-0033/2023-21,NULL,"1 a. Member States may exempt publicly owned social housing and insecure and economically disadvantaged rural areas from the obligation referred to in paragraph 1a, point (a), where such renovations are not cost neutral or would lead to rent increases for people living in social housing beyond the economic savings on the energy bill.",2021/0426(COD)
A9-0033/2023-22,"6. Member States shall take the measures necessary to ensure the implementation of minimum energy performance standards referred to in paragraphs 1 and 2, including appropriate monitoring mechanisms and penalties in accordance with Article 31.","6. Member States shall take the measures necessary to ensure the implementation of minimum energy performance standards referred to in paragraphs 1 and 2, including appropriate monitoring mechanisms. Member States shall provide appropriate financial support frameworks and social safeguards in accordance with Article 15 to comply with minimum energy performance standards. The measures of the financial support framework shall be sufficient, effective, transparent and non-discriminatory, shall support the execution of the substantial improvements in the energy performance of buildings where an improvement is not otherwise economically feasible and shall include targeted measures to support vulnerable households. Those measures shall include the establishment of an energy performance renovation fund, to act as leverage for increasing private and public investments for projects improving energy performance of buildings, including energy efficiency and renewable energy in buildings or building components.  Where appropriate, the Commission shall, as part of the Multiannual Financial Framework for 2028-2034, put forward legislative proposals to strengthen existing, and propose additional, Union financial instruments to support the implementation of this Directive.",2021/0426(COD)
A9-0033/2023-24,"2. By 31 December 2025 at the latest, the energy performance certificate shall comply with the template in Annex V. It shall specify the energy performance class of the building, on a closed scale using only letters from A to G. The letter A shall correspond to zero-emission buildings as defined in Article 2, point (2) and the letter G shall correspond to the 15% worst- performing buildings in the national building stock at the time of the introduction of the scale. Member States shall ensure that the remaining classes (B to F) have an even bandwidth distribution of energy performance indicators among the energy performance classes. Member States shall ensure a common visual identity for energy performance certificates on their territory.","2. By 31 December 2027, the energy performance certificate shall comply with the template in Annex V.                 By way of derogation from the first subparagraph of this paragraph, Member States that have revised their system of certification of the energy performance of buildings between 1 January 2019 and ... [the date of entry into force of this Directive] may continue to use that system to comply with Article 9(1), and may determine their worst performing buildings using data from their building stock between 1 January 2019 and ... [the date of entry into force of this Directive] as a baseline, renovating at least the equivalent number or the equivalent useful floor area of worst performing buildings identified in Article 9(1a), or the equivalent level of energy performance improvement. Where a Member State benefits from the derogation provided for in this subparagraph, it shall, by 1 January 2030, update its performance classes in accordance with the first subparagraph on the basis of the performance of their national building stock between 1 January 2019 and ... [the date of entry into force of this Directive].  Pursuant to the first subparagraph of this paragraph, Member States shall specify the energy performance class of the building, on a closed scale using only letters A to G. The letter A shall correspond to zero emission buildings as defined in Article 2, point (2). Member States may define an A+ energy performance class for buildings that meet all of the following conditions:  (a) high efficiency standards with energy needs for heating, cooling, ventilation and hot water no higher than 30 kWh/m2 /year; (b) higher production of kWh renewable energy on-site, based on a monthly average; (c) carbon positivity regarding the building’s life-cycle GWP including building materials and energy installations during manufacturing, installation, use, maintenance, and demolition.  The letter G shall correspond to the 10 % worst-performing buildings in the national building stock at the time of the introduction of the scale. Member States shall ensure that the remaining classes A to F have an even bandwidth distribution of energy performance indicators among the energy performance classes. Member States shall ensure a common visual identity for energy performance certificates on their territory",2021/0426(COD)
A9-0033/2023-25,"10. The validity of the energy performance certificate shall not exceed five years. However for buildings with an energy performance class A, B or C established pursuant to paragraph 2, the validity of the energy performance certificate shall not exceed 10 years.",10. The validity of the energy performance certificate shall not exceed ten years.,2021/0426(COD)
A9-0033/2023-31,(c) residential buildings and building units achieve at the latest,"(c) the whole residential building stock achieves at the latest, on average:",2021/0426(COD)
A9-0033/2023-32,"(i) after 1 January 2030, at least energy performance class F; and",deleted,2021/0426(COD)
A9-0033/2023-34,NULL,1 a. Member State may choose not to apply paragraph 1a. to single family houses.,2021/0426(COD)
A9-0033/2023-54,NULL,"6 a. By 31 December 2027, and every two years thereafter, the Commission shall submit a report to the European Parliament and to the Council on the progress towards the improvement of energy efficiency and energy performance of buildings. The report shall in particular monitor and evaluate the effectiveness of existing financial measures and present additional tools to facilitate a just transition, including adequate financial means, at Union, Member State or local level to ensure a just transition and to mitigate any negative socioeconomic impacts, in particular in the regions and the communities most affected.",2021/0426(COD)
A9-0033/2023-55,NULL,"6 b. The Commission shall, as part of the Multiannual Financial Framework for 2028-2034, put forward legislative proposals to adjust and strengthen existing and propose additional Union financial instruments to support the implementation of this Directive.",2021/0426(COD)
A9-0033/2023-59,"5. Member States may decide not to apply paragraphs 1, 2 and 4 to specific categories of buildings wherethe pre- cabling required would rely on micro isolated systems or the buildings are situated in the outermost regions within the meaning of Article 349 TFEU, if this would lead to substantial problems for the operation of the local energy system and would endanger the stability of the local grid.","5. Member States may decide not to apply paragraphs 1, 2 and 4 to specific categories of buildings where:         (a) the pre-cabling required would rely on micro isolated systems or the buildings are situated in the outermost regions within the meaning of Article 349 TFEU, if this would lead to substantial problems for the operation of the local energy system and would endanger the stability of the local grid.;  (b) the stability of the grid is at risk and does not allow to power the specific number of recharging points for non- residential and residential buildings in the area and where a number of kilowatts per size and number of parking spaces shall be developed;  (c) the cost of pre-cabling installations or pre-cabling installations and recharging points exceeds [10 %] of the total cost of the major renovation of the building; (d) the building provides for social housing services or shelter for vulnerable households, as defined by the Member State;  (e) building permit applications or equivalent applications have been submitted by … [date of national implementation of EPBD recast].",2021/0426(COD)
A9-0033/2023-65,"8. Member States shall provide for measures in order to simplify the deployment of recharging points in new and existing residential and non-residential buildings and remove regulatory barriers, including permitting and approval procedures, without prejudice to the property and tenancy law of the Member States. Member States shall remove barriers to the installation of recharging points in residential buildings with parking spaces, in particular the need to obtain consent from the landlord or co-owners for a private recharging point for own use.","8. Member States shall provide for measures in order to encourage, simplify, harmonise and accelerate the procedure for the installation of recharging points in new and existing residential and non- residential buildings, especially of co- owners associations, and remove regulatory barriers, including permitting and approval procedures from public authorities or grid operators, without prejudice to the property and tenancy law of the Member States and to allow swift uptake of electric vehicles. Member States shall remove barriers to the installation of recharging points in residential buildings with parking spaces. The need to obtain consent from the landlord or co-owners for a private recharging point for own use shall be respected. A request by tenants or co-owners to install charging equipment in a parking space may be refused if there are serious and legitimate grounds for such a refusal. Member States shall ensure that the time between the application for a recharging point by a tenant or an owner in a building and its installation is reasonable and in any event does not exceed six months.  By 1 January 2025, the Commission shall publish guidelines specifying the standards and protocol to be recommended to national and local public authorities for fire safety in roofed car parks. Member States shall ensure the availability of technical assistance for building owners and tenants wishing to install recharging points and bicycle parking spaces.  With regard to existing residential buildings with more than three parking spaces, Member States shall introduce measures to ensure the installation of pre- cabling for parking spaces, in proportion to with the number of battery electric light-duty vehicles registered in their territory.",2021/0426(COD)
A9-0009/2023-145,NULL,"Article 5a Identification of a political advertisement For the purpose of determining whether a message constitutes a political advertising within the meaning of Article 2(2)(b), account shall be taken of all its features, and in particular the following: (a) the content of the message; (b) the sponsor of the message; (c) the spoken or written language used to convey the message; (d) the form of the message or the means by which the message is prapared, placed, promoted, published, delivered or disseminated; (e) the targeted audience; (f) the context in which the message is conveyed, including the period of dissemination such as election or referendum periods, or disseminaion of the message during and a legislative or regulatory process; (g) the objective of the message. The Commission shall draw up common guidance intended to contribute to the proper application of this Article.",2021/0381(COD)
A9-0214/2023-1,Article 3  1. The number of representatives in the European Parliament elected in each Member State for the 2024 - 2029 parliamentary term is set as follows:  Belgium 21 Bulgaria 17 Czech Republic 21 Denmark 15 Germany 96 Estonia 7 Ireland 14 Greece 21 Spain 61 France 79 Croatia 12 Italy 76 Cyprus 6 Latvia 9 Lithuania 11 Luxembourg 6 Hungary 21 Malta 6 Netherlands 31 Austria 20 Poland 52 Portugal 21 Romania 33 Slovenia 9 Slovakia 15 Finland 15 Sweden 21,Article 3  1. The number of representatives in the European Parliament elected in each Member State for the 2024 - 2029 parliamentary term is set as follows:  Belgium 22 Bulgaria 17 Czech Republic 21 Denmark 15 Germany 96 Estonia 7 Ireland 14 Greece 21 Spain 63 France 83 Croatia 12 Italy 76 Cyprus 6 Latvia 9 Lithuania 11 Luxembourg 6 Hungary 21 Malta 6 Netherlands 31 Austria 20 Poland 52 Portugal 21 Romania 33 Slovenia 9 Slovakia 15 Finland 15 Sweden 21,2021/2229(INL)
A9-0214/2023-2,Article 3   1. The number of representatives in the European Parliament elected in each Member State for the 2024 - 2029 parliamentary term is set as follows:   Belgium 21 Bulgaria 17 Czech Republic 21 Denmark 15 Germany 96 Estonia 7 Ireland 14 Greece 21 Spain 61 France 79 Croatia 12 Italy 76 Cyprus 6 Latvia 9 Lithuania 11 Luxembourg 6 Hungary 21 Malta 6 Netherlands 31 Austria 20 Poland 52 Portugal 21 Romania 33 Slovenia 9 Slovakia 15 Finland 15 Sweden 21,Article 3   1. The number of representatives in the European Parliament elected in each Member State for the 2024 - 2029 parliamentary term is set as follows:   Belgium 22 Bulgaria 17 Czech Republic 21 Denmark 15 Germany 96 Estonia 7 Ireland 14 Greece 21 Spain 61 France 81 Croatia 12 Italy 76 Cyprus 6 Latvia 9 Lithuania 11 Luxembourg 6 Hungary 21 Malta 6 Netherlands 31 Austria 20 Poland 52 Portugal 21 Romania 33 Slovenia 9 Slovakia 15 Finland 15 Sweden 21,2021/2229(INL)
A9-0214/2023-3,NULL,"(1a) The establishment of transnational lists violates Article 14(2) TEU, which clearly stipulates that the seats are allocated to Member States; thus they cannot be assigned to a Union-wide constituency which does not directly represent any Member State.",2021/2229(INL)
A9-0214/2023-4,NULL,"(1b) The establishment of transnational lists violates Article 14(2) TEU, which clearly stipulates that seats are allocated in accordance with the principle degressive proportionality and that there is the upper threshold of 96 seats which cannot be exceeded; thus, the introduction of a Union-wide constituency would allow some Member States to obtain an extra number of seats, effectively distorting the principle degressive proportionality.",2021/2229(INL)
